Observer-to-actuator coupling,Split decoy WMS,Original workspace WMS
0.0,0.2881224844392341,3.389151738938709
0.09999999999999999,0.7391380442176444,3.389151738938709
0.19999999999999998,1.2046804316413016,3.389151738938709
0.3,1.5287713513562426,3.389151738938709
0.39999999999999997,1.8228173831231558,3.389151738938709
0.49999999999999994,2.0940241170956284,3.389151738938709
0.6,2.3470898550795587,3.389151738938709
0.7,2.5853107355366562,3.389151738938709
0.7999999999999999,2.8110995393247373,3.389151738938709
0.8999999999999999,3.0262810740637076,3.389151738938709
0.9999999999999999,3.232273035066188,3.389151738938709
1.0999999999999999,3.4302019198851545,3.389151738938709
1.2,3.620980088567596,3.389151738938709
